Date,Hour,Temperature(째C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(째C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,Temperature_high,Spring,Summer,Autumn,New_Holiday,New_Fuctioning Day,Rented Bike Count
01/11/2018,11,11.1,46,1.6,1518,-0.1,1.84,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1175.2040420580638
01/11/2018,12,12.6,36,2.6,1785,-2.1,2.14,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1070.168433531223
01/11/2018,13,13.6,32,1.8,1814,-2.8,2.22,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1165.5748702982694
01/11/2018,14,14.9,31,2.5,1872,-2.1,2.06,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1166.577422766105
01/11/2018,15,14.8,30,2.7,1990,-2.6,1.71,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1222.1756449856666
01/11/2018,16,14.7,32,2.0,1934,-1.8,1.13,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1476.7215124625836
01/11/2018,17,13.7,37,1.4,2000,-0.7,0.49,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1605.8617153866878
01/11/2018,18,11.8,43,1.3,1995,-0.3,0.03,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1541.7132151374121
01/11/2018,19,10.5,49,1.2,1965,0.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1032.0943070940125
01/11/2018,20,9.9,53,1.7,1868,0.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,873.4251895123037
01/11/2018,21,9.3,54,1.1,1975,0.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,837.2412672410945
01/11/2018,22,8.3,61,0.2,1809,1.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,508.6195283323171
01/11/2018,23,7.8,63,0.4,1547,1.1,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,508.6195283323171
02/11/2018,0,7.2,64,1.0,1639,0.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,505.25071911751564
02/11/2018,1,6.6,69,0.0,1512,1.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,495.1020526936761
02/11/2018,2,6.1,68,0.5,1519,0.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,495.0823376027226
02/11/2018,3,5.7,72,0.8,1368,1.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,481.73722635382086
02/11/2018,4,5.2,74,1.3,1386,0.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,446.85403944360814
02/11/2018,5,4.8,75,0.7,1471,0.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,437.45737509256463
02/11/2018,6,4.5,77,1.0,1410,0.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,434.0885658777632
02/11/2018,7,4.1,75,0.8,1143,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,437.45737509256463
02/11/2018,8,4.7,72,1.0,1306,0.0,0.12,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,919.1590635447682
02/11/2018,9,7.0,57,0.7,1553,-0.9,0.79,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1062.703996732788
02/11/2018,10,10.0,49,1.2,1411,-0.2,1.4,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1116.2115587136946
02/11/2018,11,12.8,44,1.0,1269,0.8,1.84,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1187.8375609931743
02/11/2018,12,14.9,40,1.1,1288,1.4,2.06,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1182.1850945826409
02/11/2018,13,16.5,37,1.2,1400,1.7,2.12,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1243.0638048041656
02/11/2018,14,18.0,31,1.2,1506,0.5,1.98,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1320.5003101564319
02/11/2018,15,18.6,31,1.4,1575,1.1,1.63,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1373.5015924094928
02/11/2018,16,18.8,32,1.4,1717,1.7,1.09,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1630.2900321161221
02/11/2018,17,17.0,36,1.5,1672,1.8,0.47,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1595.9968841590971
02/11/2018,18,14.6,42,1.4,1428,1.8,0.02,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1484.4043730796889
02/11/2018,19,12.8,40,1.4,1870,-0.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1164.7036624023299
02/11/2018,20,11.7,45,1.2,1748,0.1,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1150.2497104117558
02/11/2018,21,10.8,57,2.0,1219,2.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,729.2569354247121
02/11/2018,22,10.0,56,2.0,1290,1.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,795.7486310276669
02/11/2018,23,9.7,56,1.3,1423,1.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,773.016282809661
03/11/2018,0,8.8,63,0.6,1314,2.1,0.0,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
03/11/2018,1,8.5,61,0.2,1273,1.3,0.0,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
03/11/2018,2,7.6,68,1.2,1170,2.0,0.0,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
03/11/2018,3,7.1,67,0.6,1229,1.3,0.0,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
03/11/2018,4,6.3,72,1.0,1104,1.6,0.0,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
03/11/2018,5,6.1,75,1.0,1053,1.9,0.0,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
03/11/2018,6,5.5,78,0.6,983,1.9,0.0,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
03/11/2018,7,5.2,79,1.3,894,1.8,0.0,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
03/11/2018,8,5.4,75,0.4,905,1.3,0.11,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
03/11/2018,9,7.9,58,1.3,1033,0.1,0.8,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
03/11/2018,10,11.0,49,0.7,957,0.6,1.4,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
03/11/2018,11,14.5,42,1.6,890,1.7,1.85,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
03/11/2018,12,16.5,37,1.8,1060,1.7,2.14,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
03/11/2018,13,17.8,29,2.0,1328,-0.4,2.17,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
03/11/2018,14,18.1,24,2.4,1594,-2.8,1.97,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
03/11/2018,15,18.5,25,1.6,1724,-1.9,1.63,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
03/11/2018,16,18.7,25,2.1,1605,-1.7,1.07,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
03/11/2018,17,16.7,45,2.2,772,4.6,0.43,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
03/11/2018,18,14.2,51,1.5,990,4.1,0.02,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
03/11/2018,19,13.4,62,1.6,740,6.2,0.0,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
03/11/2018,20,12.1,68,0.8,592,6.3,0.0,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
03/11/2018,21,11.1,69,0.9,619,5.6,0.0,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
03/11/2018,22,10.0,68,1.1,791,4.3,0.0,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
03/11/2018,23,9.2,65,1.2,1064,2.9,0.0,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
04/11/2018,0,9.1,63,0.6,1292,2.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,508.6392434232706
04/11/2018,1,8.6,60,1.1,1416,1.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,600.4258371427137
04/11/2018,2,8.2,62,0.2,1415,1.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,508.6392434232706
04/11/2018,3,7.6,66,0.9,1432,1.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,495.1020526936761
04/11/2018,4,6.9,70,1.5,1314,1.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,501.6503731267189
04/11/2018,5,6.6,73,0.3,1219,2.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,437.47709018351816
04/11/2018,6,6.2,73,0.3,1018,1.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,437.47709018351816
04/11/2018,7,5.8,79,1.0,862,2.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,345.85001583493477
04/11/2018,8,5.7,78,1.1,714,2.1,0.09,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,826.261634735546
04/11/2018,9,7.5,60,0.5,725,0.2,0.79,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,949.5700821903959
04/11/2018,10,11.1,51,0.8,679,1.3,1.38,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1050.0333538622215
04/11/2018,11,14.8,46,2.0,768,3.2,1.83,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1205.6357497056692
04/11/2018,12,16.3,33,2.9,1530,0.0,2.13,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1269.3086737732795
04/11/2018,13,18.3,26,1.2,1503,-1.5,2.17,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1285.7775458667418
04/11/2018,14,19.3,28,1.7,1208,0.3,1.93,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1419.4606074340288
04/11/2018,15,19.0,25,2.1,1748,-1.5,1.6,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1318.959893484636
04/11/2018,16,18.4,25,3.2,1909,-2.0,1.05,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1362.7382993563085
04/11/2018,17,16.9,33,2.2,1972,0.5,0.43,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1625.48364739605
04/11/2018,18,14.5,46,2.6,1618,3.0,0.01,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1515.683973711055
04/11/2018,19,12.9,56,2.5,1345,4.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,929.054405483269
04/11/2018,20,12.7,59,1.2,1177,4.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,729.2142433993887
04/11/2018,21,11.8,62,0.7,1030,4.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,618.6130951453453
04/11/2018,22,11.2,67,1.3,940,5.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,614.4725687667942
04/11/2018,23,10.6,73,1.3,931,5.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,521.9567270967649
05/11/2018,0,10.1,75,0.0,922,5.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,512.5600627457216
05/11/2018,1,9.3,78,0.1,828,5.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,512.5600627457216
05/11/2018,2,8.8,81,0.0,773,5.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,329.8280316153945
05/11/2018,3,8.3,81,1.1,642,5.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,299.3112616492528
05/11/2018,4,8.0,81,0.4,666,4.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,307.5828514563989
05/11/2018,5,8.0,84,0.7,569,5.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,271.6780174889211
05/11/2018,6,7.2,83,0.8,636,4.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,307.5828514563989
05/11/2018,7,7.0,86,1.1,455,4.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,271.6950047670467
05/11/2018,8,7.2,80,0.8,515,3.9,0.13,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,740.4121393262178
05/11/2018,9,8.9,67,1.1,578,3.0,0.69,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,892.6569143461958
05/11/2018,10,11.8,59,0.9,616,4.0,1.23,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,965.9338975215783
05/11/2018,11,13.8,47,1.2,994,2.6,1.71,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1185.7519487268157
05/11/2018,12,16.4,48,2.1,653,5.3,1.68,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1139.671375923832
05/11/2018,13,16.8,46,1.1,760,5.0,1.71,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1185.0104878683792
05/11/2018,14,17.5,38,1.2,1090,3.0,1.74,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1252.7410639667708
05/11/2018,15,18.0,39,1.0,1208,3.8,1.21,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1605.23546349876
05/11/2018,16,16.8,46,1.8,1041,5.0,0.72,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1632.7641860528859
05/11/2018,17,15.7,49,2.0,1252,5.0,0.26,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1541.0458299948832
05/11/2018,18,14.5,54,1.3,1343,5.2,0.01,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1237.1134251095682
05/11/2018,19,13.2,66,1.7,705,6.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,708.7493392020685
05/11/2018,20,12.7,75,2.0,433,8.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,677.6748045463193
05/11/2018,21,12.2,79,1.8,351,8.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,530.7841969635817
05/11/2018,22,11.6,81,1.2,336,8.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,394.13275610134605
05/11/2018,23,10.9,82,0.1,346,7.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,367.96529289536704
06/11/2018,0,10.0,73,0.5,700,5.3,0.0,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
06/11/2018,1,9.8,75,0.5,668,5.5,0.0,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
06/11/2018,2,9.7,78,0.0,619,6.0,0.0,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
06/11/2018,3,9.4,81,0.3,500,6.2,0.0,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
06/11/2018,4,9.1,81,0.0,493,6.0,0.0,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
06/11/2018,5,8.8,84,0.6,420,6.2,0.0,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
06/11/2018,6,8.5,83,0.7,409,5.7,0.0,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
06/11/2018,7,8.3,84,0.9,422,5.7,0.0,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
06/11/2018,8,8.7,77,0.7,529,4.8,0.11,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
06/11/2018,9,10.1,68,0.2,578,4.4,0.33,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
06/11/2018,10,11.7,62,0.5,521,4.6,0.77,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
06/11/2018,11,13.0,55,1.0,488,4.1,0.84,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
06/11/2018,12,14.5,57,0.8,373,6.0,1.08,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
06/11/2018,13,16.1,56,1.7,328,7.3,1.54,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
06/11/2018,14,17.4,50,2.4,336,6.8,1.52,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
06/11/2018,15,16.3,54,1.6,374,6.9,0.76,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
06/11/2018,16,16.6,55,1.3,334,7.5,0.66,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
06/11/2018,17,15.3,63,1.2,260,8.2,0.23,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
06/11/2018,18,14.0,71,1.5,201,8.8,0.01,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
06/11/2018,19,13.3,72,1.1,234,8.3,0.0,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
06/11/2018,20,13.2,73,1.1,246,8.4,0.0,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
06/11/2018,21,13.0,76,0.9,231,8.8,0.0,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
06/11/2018,22,12.3,73,1.2,277,7.5,0.0,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
06/11/2018,23,12.2,74,1.1,291,7.6,0.0,0.0,0.0,Autumn,No Holiday,No,1,0,0,1,0,0,0.0
07/11/2018,0,11.9,74,1.6,287,7.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,610.8395325240127
07/11/2018,1,11.9,76,1.4,286,7.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,610.8395325240127
07/11/2018,2,12.0,81,1.3,295,8.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,394.13275610134605
07/11/2018,3,10.8,88,1.0,145,8.8,0.0,0.5,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,80.33528989512453
07/11/2018,4,10.6,95,0.7,94,9.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,281.7700376243398
07/11/2018,5,11.1,95,0.2,117,10.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,266.5359255513618
07/11/2018,6,11.0,91,1.0,124,9.5,0.0,1.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,-10.674621019220492
07/11/2018,7,10.8,91,1.3,216,9.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,317.1099254616424
07/11/2018,8,11.3,89,1.1,279,9.5,0.01,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,430.1271889979595
07/11/2018,9,11.2,86,1.0,372,8.9,0.09,0.5,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,247.32812583689847
07/11/2018,10,11.9,84,0.9,482,9.2,0.2,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,634.6617951509128
07/11/2018,11,12.4,82,0.6,507,9.4,0.34,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,670.5666291183904
07/11/2018,12,13.2,77,1.3,589,9.2,0.5,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1003.3116236476437
07/11/2018,13,14.5,74,1.3,610,9.9,0.75,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,926.5788093445238
07/11/2018,14,15.5,68,1.4,693,9.6,1.15,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1010.8789984151476
07/11/2018,15,15.4,72,1.1,608,10.3,0.57,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1036.4966844430182
07/11/2018,16,15.2,72,1.2,625,10.1,0.4,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,1047.5914749088993
07/11/2018,17,14.9,73,0.9,854,10.0,0.04,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,961.7906637706778
07/11/2018,18,14.4,77,1.0,912,10.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,696.7447875429492
07/11/2018,19,13.8,81,1.5,760,10.5,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,496.3510485771014
07/11/2018,20,13.3,77,1.6,833,9.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,721.2389561394546
07/11/2018,21,13.5,75,0.8,1275,9.1,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,676.4607425090445
07/11/2018,22,13.2,74,1.4,1407,8.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,656.6238457155852
07/11/2018,23,12.9,72,1.4,2000,7.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,689.7991573195023
08/11/2018,0,12.9,70,1.8,2000,7.5,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,695.0511824872185
08/11/2018,1,11.9,77,1.1,1634,7.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,632.1106934228333
08/11/2018,2,11.8,84,1.6,1874,9.1,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,463.0287690239692
08/11/2018,3,11.8,86,1.6,1819,9.5,0.0,0.5,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,61.2095070176251
08/11/2018,4,10.8,87,1.7,956,8.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,403.78821018557403
08/11/2018,5,10.8,89,1.6,957,9.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,355.7119526530343
08/11/2018,6,10.6,90,1.6,1065,9.0,0.0,1.5,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,-2.7168371132511986
08/11/2018,7,10.9,88,1.8,1866,8.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,434.1366683181208
08/11/2018,8,10.6,89,1.5,689,8.8,0.02,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,430.85397704412003
08/11/2018,9,10.6,94,2.1,739,9.6,0.06,2.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,162.73341102743325
08/11/2018,10,10.8,94,1.8,578,9.8,0.15,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,511.90584033460453
08/11/2018,11,10.9,95,2.4,519,10.1,0.12,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,614.537948642692
08/11/2018,12,11.4,95,2.5,792,10.6,0.44,5.5,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,196.06509872483448
08/11/2018,13,11.5,95,2.1,457,10.7,0.32,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,572.1414568872622
08/11/2018,14,11.3,96,2.7,302,10.6,0.11,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,601.3067488517262
08/11/2018,15,11.4,96,2.0,910,10.7,0.07,9.5,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,121.51447685090065
08/11/2018,16,11.7,96,1.4,587,11.0,0.02,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,406.7125176255562
08/11/2018,17,11.9,97,0.7,269,11.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,235.5356894053898
08/11/2018,18,12.9,97,0.0,406,12.4,0.0,9.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,7.124043824138431
08/11/2018,19,12.8,97,0.9,245,12.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,277.9645326887653
08/11/2018,20,13.9,97,2.5,594,13.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,480.93949776902525
08/11/2018,21,14.0,96,4.1,292,13.3,0.0,18.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,112.11089531529689
08/11/2018,22,12.4,96,2.7,545,11.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,416.77512986898836
08/11/2018,23,11.5,96,3.0,691,10.8,0.0,0.0,0.0,Autumn,No Holiday,Yes,1,0,0,1,0,1,416.77512986898836
